事件类型,分类,子项,详细描述
祭祀准备,准备工作,布置祭坛,在祭祖场所（如祠堂、家中神龛或祖先墓前）设立祖先的牌位或画像，摆放祭坛
祭祀准备,准备工作,准备祭品,祭品通常包括三牲（猪、鸡、鱼）、水果、糕点、茶酒等。祭品需选择新鲜、完整的食材，以示对祖先的敬意
祭祀准备,准备工作,准备祭祀用品,包括香烛、纸钱（或金银纸）、香炉、酒杯、茶杯等
祭祀准备,准备工作,参与者准备,参与者需沐浴更衣，保持整洁，以示尊重
祭祀流程,仪式开始,点燃香烛,主祭人（通常是家族长辈或族长）点燃香烛，象征家族香火传承
祭祀流程,仪式开始,祭酒,在祭坛前敬酒，表达对祖先的敬意
祭祀流程,祭祀过程,上香,参祭人员依次向祖先上香，表达怀念和尊敬之情
祭祀流程,祭祀过程,献祭品,将准备好的祭品依次摆放于祭坛上，供祖先享用
祭祀流程,祭祀过程,诵读祭文,主祭人宣读祭文，回顾祖先的功绩，表达对祖先的敬仰和感激
祭祀流程,祭祀过程,叩拜,参祭人员依次向祖先牌位或墓碑叩拜，通常为三拜
祭祀流程,结束仪式,焚化纸钱,将纸钱、金银纸等焚烧，象征将祭品和祈愿传递给祖先
祭祀流程,结束仪式,祈求祝福,参祭人员在结束之际，祈求祖先的庇佑和祝福
祭祀流程,结束仪式,清理祭坛,仪式结束后，清理祭坛，整理祭品，保持环境整洁
祭祀注意事项,注意事项,时间选择,祭祖时间因地区习俗不同，有的在除夕夜、大年初一，有的在清明节等
祭祀注意事项,注意事项,祭品处理,祭品不可随意丢弃，可分给家人食用或捐赠
祭祀注意事项,注意事项,安全第一,在焚化纸钱时，注意防火安全
